epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,295.252,0.40404,0.9375,1,0.15176,0.00054928,0.00054928,0.00054928
2,696.163,0.20833,0.9375,1,0.19974,0.000995557,0.000995557,0.000995557
3,1230.04,0.1926,0.94792,1,0.1712,0.00133181,0.00133181,0.00133181
4,1714.26,0.23725,0.95312,1,0.1461,0.0011719,0.0011719,0.0011719
5,2005.06,0.1668,0.94271,1,0.24333,0.00100687,0.00100687,0.00100687
6,2301.41,0.16759,0.98438,1,0.06087,0.000841835,0.000841835,0.000841835
7,2589.07,0.14634,0.96354,1,0.07972,0.000676802,0.000676802,0.000676802
8,2876.92,0.08867,0.95833,1,0.08507,0.000511769,0.000511769,0.000511769
9,3167.51,0.09361,0.97917,1,0.05788,0.000346736,0.000346736,0.000346736
10,3459.99,0.06054,0.98438,1,0.03564,0.000181703,0.000181703,0.000181703
